city,date,station,trips
Mountain View,16/11/2013,28,1
Mountain View,16/11/2013,29,2
Mountain View,16/11/2013,33,3
Mountain View,17/11/2013,27,2
Mountain View,17/11/2013,28,1
Mountain View,17/11/2013,30,1
Mountain View,17/11/2013,33,7
Mountain View,18/11/2013,27,5
Mountain View,18/11/2013,28,9
Mountain View,18/11/2013,29,2
Mountain View,18/11/2013,30,2
Mountain View,19/11/2013,27,4
Mountain View,19/11/2013,28,5
Mountain View,19/11/2013,30,2
Mountain View,20/11/2013,27,6
Mountain View,20/11/2013,28,9
Mountain View,20/11/2013,29,1
Mountain View,20/11/2013,30,3
Mountain View,21/11/2013,27,6
Mountain View,21/11/2013,28,10
Mountain View,21/11/2013,29,2
Mountain View,21/11/2013,30,3
Mountain View,22/11/2013,27,6
Mountain View,22/11/2013,28,5
Mountain View,22/11/2013,30,3
Mountain View,23/11/2013,27,1
Mountain View,23/11/2013,28,2
Mountain View,23/11/2013,33,2
Mountain View,24/11/2013,28,1
Mountain View,24/11/2013,33,1
Mountain View,25/11/2013,27,6
Mountain View,25/11/2013,28,9
Mountain View,25/11/2013,29,2
Mountain View,25/11/2013,30,2
Mountain View,25/11/2013,33,1
Mountain View,26/11/2013,27,6
Mountain View,26/11/2013,28,16
Mountain View,26/11/2013,29,3
Mountain View,26/11/2013,30,3
Mountain View,26/11/2013,33,1
Mountain View,27/11/2013,27,4
Mountain View,27/11/2013,28,6
Mountain View,27/11/2013,30,4
Mountain View,27/11/2013,33,1
Mountain View,28/11/2013,27,3
Mountain View,28/11/2013,28,1
Mountain View,28/11/2013,33,5
Mountain View,29/11/2013,27,4
Mountain View,29/11/2013,28,3
Mountain View,29/11/2013,33,2
Mountain View,30/11/2013,29,1
Mountain View,30/11/2013,30,1
Mountain View,30/11/2013,33,2
Mountain View,01/12/2013,28,7
Mountain View,01/12/2013,33,4
Mountain View,02/12/2013,27,7
Mountain View,02/12/2013,28,12
Mountain View,02/12/2013,29,3
Mountain View,02/12/2013,33,1
Mountain View,03/12/2013,27,8
Mountain View,03/12/2013,28,12
Mountain View,03/12/2013,29,1
Mountain View,03/12/2013,30,1
Mountain View,03/12/2013,33,1
Mountain View,04/12/2013,27,6
Mountain View,04/12/2013,28,11
Mountain View,04/12/2013,29,2
Mountain View,04/12/2013,30,1
Mountain View,04/12/2013,33,2
Mountain View,05/12/2013,27,5
Mountain View,05/12/2013,28,7
Mountain View,05/12/2013,29,1
Mountain View,05/12/2013,30,1
Mountain View,05/12/2013,33,1
