id;point;convert_point;name;oldName;isActive;station;institute;trackNo;usableLength;trackSurface;frameType;frontLength;lighting;plkId;isEsriStation
1012;0xE6100000010CF076EBD9CC494A402006D1D950432F40;POINT (15.631476218000046 52.576564064000081);Rokitno;Rokitno;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26641;1
1013;0xE6100000010CB087B14ABE494A40400A388172222F40;POINT (15.56727985200007 52.576119744000039);Chełmsko;Chełmsko;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26658;1
1014;0xE6100000010CA03132EC23494A40001F190B40772F40;POINT (15.732910487000026 52.571408772000041);Goraj;Goraj;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26633;1
1015;0xE6100000010CA85548F490444A4080DCE345590B2F40;POINT (15.522165474000076 52.535673652000071);Popowo Skwierzyńskie;Popowo;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26567;1
1016;0xE6100000010CE8A11AEF01444A40E0A013D56A872F40;POINT (15.76448694100003 52.531309021000027);Zielomyśl;Zielomyśl;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26757;1
1017;0xE6100000010C5008AAD419404A4060DE01EA42E62F40;POINT (15.949729264000041 52.500788291000049);Łowyń;Łowyń;nie;Łowyń;Zielona Góra;3;230;P-1350;" ";50;nie ma;26989;1
1018;0xE6100000010CF09FB22A1A3F4A4080C2FDBAB28B2F40;POINT (15.772847980000051 52.492986047000045);Pszczew;Pszczew;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26765;1
1019;0xE6100000010CC83FCF130D3E4A40A0F406EB41112F40;POINT (15.533706040000027 52.48477409000003);Głębokie Międzyrzeckie;Głębokie;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26583;1
1020;0xE6100000010C7045B336B63A4A40E00F735BB8622F40;POINT (15.692812784000068 52.458685720000062);Policko;Policko;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26773;1
1021;0xE6100000010C0029DF1043394A406059F264764B2F40;POINT (15.647387652000077 52.447359189000053);Bobowicko;Bobowicko;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26781;1
1022;0xE6100000010C30E97BBCF9384A4040DE7FF99E2F2F40;POINT (15.593009755000026 52.445121346000064);Międzyrzecz;Międzyrzecz;tak;Międzyrzecz;Zielona Góra;14;233;P - 1 840;" ";200;jest;26708;1
1023;0xE6100000010C7836E29E6E334A408055CF726E152F40;POINT (15.541858280000042 52.401813374000028);Nietoperek;Nietoperek;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26898;1
1024;0xE6100000010C3816D19F4B314A40405437AAE2692F40;POINT (15.706807441000024 52.385120370000038);Bukowiec Międzyrzecki;Bukowiec;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26278;1
1025;0xE6100000010C2802B02F092F4A4000F104E614152F40;POINT (15.54117506800003 52.367467843000043);Kaława;Kaława;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";178238;1
1026;0xE6100000010CA01643D91E2E4A40A05F8A0885782F40;POINT (15.735389964000035 52.360316427000043);Panowice;Panowice;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26260;1
1027;0xE6100000010CB87046580A2C4A40206564DA48822F40;POINT (15.754462075000049 52.344065699000055);Lutol Suchy;Lutol Suchy;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26252;1
1028;0xE6100000010CF8413E04AF2B4A4080867D6351162F40;POINT (15.543589696000026 52.341278582000029);Gościkowo;Gościkowo;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26914;1
1029;0xE6100000010C00A85AF98F534A40008EE2E2C9BC2E40;POINT (15.368727770000078 52.652831239000079);Brzozowiec Gorzowski;Brzozowiec;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26534;1
1030;0xE6100000010C90D183ED2D504A4080EA27FC4FCF2E40;POINT (15.404907112000046 52.626401605000069);Trzebiszewo;Trzebiszewo;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26542;1
1031;0xE6100000010CC0555E920D3A4A40C02274EE7B3A2E40;POINT (15.114226772000052 52.453539177000039);Sulęcin;Sulęcin;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26880;1
1032;0xE6100000010CA0A02BB6AE394A40C01C8E79E0002E40;POINT (15.001712607000059 52.450644275000059);Smogóry;Smogory;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";25965;1
1033;0xE6100000010CA0116ECA86394A40405480ED35642E40;POINT (15.195723936000036 52.449425987000041);Wędrzyn;Wędrzyn;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26872;1
1034;0xE6100000010C008960686A394A4000DFEDC8F8C82E40;POINT (15.392523078000067 52.448559806000048);Templewo;Templewo;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26856;1
1035;0xE6100000010C201195AB37394A40E0BC837C29F92E40;POINT (15.486644641000055 52.44701142100007);Gorzyca;Gorzyca;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26823;1
1036;0xE6100000010CE0154BA8D8384A40C052A0DAD6DF2E40;POINT (15.43718608100005 52.444111859000031);Kursko;Kursko;nie;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26815;1
1037;0xE6100000010C480110B4D8374A40A08A979F027F2E40;POINT (15.248066890000075 52.43630076200003);Trzemeszno Lubuskie;Trzemeszno Lubuskie;nie;Trzemeszno Lubuskie;Zielona Góra;4;642;P - 5 392;" ";165;jest;26864;1
1038;0xE6100000010CE89810062D2D4A40600C96D81FBB2E40;POINT (15.36547734100003 52.352936514000078);Sieniawa Lubuska;Sieniawa Lubuska;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";28225;1
1039;0xE6100000010C4888BECA002D4A4080CB21D204E22E40;POINT (15.441443030000073 52.351586669000028);Staropole;Staropole;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";26922;1
1040;0xE6100000010C30255AAB232B4A40C08AB8F9799A2E40;POINT (15.301711849000071 52.337026042000048);Łagów;Łagów;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";179242;1
1041;0xE6100000010CE84CE835C3534A40A05E9A8AA3652D40;POINT (14.698513347000073 52.654394854000032);Krześnica;Krześnica-Sarbinowo;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";13524;1
1042;0xE6100000010CB049E9CC8F4B4A40E079E3CAF74A2D40;POINT (14.646421757000041 52.59032594100006);Kostrzyn;Kostrzyn;tak;Kostrzyn;Zielona Góra;24;105;P - 2 120;" ";95;jest;13003;1
1043;0xE6100000010C781BE25F11424A4060382C2E0A4D2D40;POINT (14.650468295000053 52.516155229000049);Ługi Górzyckie;Ługi Gorzyckie;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";13078;1
1044;0xE6100000010C884765D406404A4000F9F03E24502D40;POINT (14.656526534000022 52.500208425000039);Górzyca;Górzyca;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";13086;1
