sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
SV00337;BOBOWA STRÓŻNA 55;NULL;NULL;BOBOWA STRÓŻNA 55;BOBOWA STRÓŻNA 55;"Stróżna ";49.70362170;20.98596180;STRÓŻNA;NULL;38-350;Polska;POLSKA;MAŁOPOLSKIE;NULL;2000.000;F;NULL;NULL;NULL
SV00338;BOBOWA WILCZYSKA 159;NULL;NULL;BOBOWA WILCZYSKA 159;BOBOWA WILCZYSKA 159;"Wilczyska ";49.67912200;20.93703200;WILCZYSKA;WILCZYSKA;38-350;Polska;POLSKA;MAŁOPOLSKIE;NULL;2000.000;F;NULL;NULL;NULL
SV0000089707;BOBOWICKO (S);26781;BOBOWICKO;BOBOWICKO (STACJA);DWORCOWA 23, 66-300 BOBOWICKO, POLSKA;NULL;52.44722167;15.64695597;gmina MiędzyrzeczBobowicko;Dworcowa;66-300;gmina Międzyrzecz;POLSKA;województwo lubuskie;NULL;4000.000;NULL;NULL;NULL;NULL
NULL;BOBOWO (D);NULL;NULL;BOBOWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOBOWO (S);NULL;NULL;BOBOWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOBREK (D);NULL;NULL;BOBREK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOBREK (S);NULL;NULL;BOBREK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088998;BOBROWNIKI (S);33019;BOBROWNIKI;BOBROWNIKI (STACJA);BOBROWNIKI (STACJA) 98-210 woj.ŁÓDZKIE;NULL;51.52462870;18.84312650;BOBROWNIKI;NULL;98-210;NULL;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000088186;BOBROWNIKI ODRZ (S);42069;BOBROWNIKI ODRZAŃSKIE;BOBROWNIKI ODRZAŃSKIE (STACJA);BOBROWNIKI ODRZAŃSKIE (STACJA) 67-106 woj.LUBUSKIE;NULL;51.85537927;15.74684549;BOBROWNIKI ODRZ;NULL;67-106;NULL;POLSKA;LUBUSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000086867;BOBROWO POM (S);3343;BOBROWO POMORSKIE;BOBROWO POMORSKIE (STACJA);2, 78-520 BOBROWO, POLSKA;NULL;53.52775818;16.07814789;gmina ZłocieniecBobrowo;NULL;78-520;gmina Złocieniec;POLSKA;województwo zachodniopomorskie;NULL;1000.000;NULL;NULL;l;NULL
SV0000087936;BOBRÓWKA (S);84731;BOBRÓWKA;BOBRÓWKA (STACJA);DWORZEC PKP BOBRÓWKA, 108, 37-542 BOBRÓWKA, POLSKA;NULL;50.04898250;22.85894394;gmina Laszki;NULL;37-542;gmina Laszki;POLSKA;województwo podkarpackie;NULL;1000.000;NULL;NULL;l;NULL
SV0000089822;BOBRY (S);47878;BOBRY;BOBRY (STACJA);Radomsko, Polska;Borowe;51.04305560;19.42305560;BOBRY;NULL;97-500;Radomsko;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BOCHLEWO (D);NULL;NULL;BOCHLEWO (DOM);NULL;NULL;NULL;NULL;BOCHLEWO;NULL;NULL;NULL;NULL;NULL;NULL;2000.000;NULL;s;SV00351;NULL
NULL;BOCHLEWO (S);NULL;NULL;BOCHLEWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV00351;BOCHLEWO DRUGIE BOCHLEWO DRUGIE 12;NULL;NULL;BOCHLEWO DRUGIE BOCHLEWO DRUGIE 12;BOCHLEWO DRUGIE BOCHLEWO DRUGIE 12;"Bochlewo Pierwsze ";52.32598790;18.12141790;BOCHLEWO;NULL;62-530;Polska;POLSKA;WIELKOPOLSKIE;NULL;2000.000;F;NULL;NULL;NULL
NULL;BOCHLIN (D);NULL;NULL;BOCHLIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOCHLIN (S);NULL;NULL;BOCHLIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000094563;BOCHNIA (D);NULL;NULL;BOCHNIA (DOM);Profesora Stanisława Fischera 10, Bochnia, Polska;Ulica Węgierska;49.96813300;20.43354430;BOCHNIA;Profesora Stanisława Fischera;32-700;Bochnia;POLSKA;MAŁOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000090174;BOCHNIA (S);79657;BOCHNIA;BOCHNIA (STACJA);DWORZEC PKP BOCHNIA, KSIĘCIA JÓZEFA PONIATOWSKIEGO 29, 32-700 BOCHNIA, POLSKA;Krzęczków;49.97719714;20.43154478;Bochnia;Księcia Józefa Poniatowskiego;32-700;Bochnia;POLSKA;województwo małopolskie;NULL;1000.000;NULL;NULL;NULL;NULL
SV0000094564;BOCHNIA COLD (H);NULL;NULL;BOCHNIA H.COLD (HOTEL);Storynka 5, Bochnia, Polska;Solna Góra;49.97109780;20.42850360;BOCHNIA;Storynka;32-700;Bochnia;POLSKA;MAŁOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000094566;BOCHNIA KOP SOLI (H);NULL;NULL;BOCHNIA UZDROWISKO KOPALNIA SOLI (HOTEL);Solna 1, Bochnia, Polska;Ulica Węgierska;49.97011670;20.43184350;BOCHNIA;Solna;32-700;Bochnia;POLSKA;MAŁOPOLSKIE;NULL;400.000;NULL;NULL;NULL;NULL
SV0000094567;BOCHNIA LEONARDA (M);NULL;NULL;BOCHNIA UL LEONARDA (MIESZKANIE SŁ);ŚWIĘTEGO LEONARDA 5B, BOCHNIA, POLSKA;Solna Góra;49.97373150;20.43147180;BOCHNIA;Świętego Leonarda;32-700;Bochnia;POLSKA;MAŁOPOLSKIE;NULL;500.000;NULL;NULL;NULL;T
SV0000094568;BOCHNIA SUTORIS (H);NULL;NULL;BOCHNIA H.SUTORIS (HOTEL);Solna 1, Bochnia, Polska;Ulica Węgierska;49.97011670;20.43184350;BOCHNIA;Solna;32-700;Bochnia;POLSKA;MAŁOPOLSKIE;NULL;200.000;NULL;NULL;NULL;NULL
NULL;BOCIANY (D);NULL;NULL;BOCIANY (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOCIANY (S);NULL;NULL;BOCIANY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086108;BOCZNICA KRAL (S);179174;BOCZNICA KRAL;BOCZNICA KRAL (STACJA);PUCK 10 LUTEGO woj.POMORSKIE Stacja:BOCZNICA KRAL;NULL;54.71878600;18.39430310;PUCK;10 LUTEGO;84-100;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;BOCZÓW (D);NULL;NULL;BOCZÓW (DOM);NULL;NULL;NULL;NULL;BOCZÓW;NULL;NULL;NULL;NULL;NULL;NULL;1000.000;NULL;S;SV00365;NULL
SV0000085483;BOCZÓW (S);25973;BOCZÓW;BOCZÓW (STACJA);BOCZÓW DWORCOWA woj.LUBUSKIE Stacja:BOCZÓW;NULL;52.32670425;14.94881976;BOCZÓW;DWORCOWA;66-235;NULL;POLSKA;LUBUSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV00365;BOCZÓW UL.SIKORSKIEGO 5/1;NULL;NULL;BOCZÓW UL.SIKORSKIEGO 5/1;BOCZÓW UL.SIKORSKIEGO 5/1;"Boczów ";52.32175490;14.95052300;BOCZÓW;GEN. SIKORSKIEGO;66-234;Polska;POLSKA;LUBUSKIE;NULL;2000.000;F;NULL;NULL;NULL
SV0000094573;BODACZÓW (D);NULL;NULL;BODACZÓW (DOM);437, 22-460 Bodaczów, Polska;NULL;50.71156930;23.03810730;BODACZÓW;NULL;22-452;gmina Szczebrzeszyn;POLSKA;LUBELSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000094569;BODACZÓW (S);NULL;NULL;BODACZÓW (STACJA);74, 22-460 BODACZÓW, POLSKA;NULL;50.71419172;23.01582098;gmina SzczebrzeszynBodaczów;74;22-460;gmina Szczebrzeszyn;POLSKA;województwo lubelskie;NULL;4000.000;NULL;NULL;NULL;NULL
SV0000088256;BODZECHÓW (S);49320;BODZECHÓW;BODZECHÓW (STACJA);SZKOLNA 2, 27-420 BODZECHÓW, POLSKA;NULL;50.91231483;21.43765211;gmina BodzechówBodzechów;Szkolna;27-420;gmina Bodzechów;POLSKA;województwo świętokrzyskie;NULL;1000.000;NULL;NULL;NULL;NULL
SV0000086913;BOGACZEWO (S);10942;BOGACZEWO;BOGACZEWO (STACJA);DWORZEC PKP BOGACZEWO, 14, 82-300 BOGACZEWO, POLSKA;NULL;54.09997272;19.57342029;gmina ElblągBogaczewo;NULL;82-300;gmina Elbląg;POLSKA;województwo warmińsko-mazurski;NULL;500.000;NULL;NULL;l;NULL
SV0000088404;BOGACZÓW (S);27888;BOGACZÓW;BOGACZÓW (STACJA);KOLEJOWA 2, 66-010 BOGACZÓW, POLSKA;NULL;51.84387808;15.26734829;gmina Nowogród BobrzańskiBogaczów;Kolejowa;66-010;gmina Nowogród Bobrzański;POLSKA;województwo lubuskie;NULL;1000.000;NULL;NULL;l;NULL
SV0000092267;BOGATYNIA (D);52894;BOGATYNIA;BOGATYNIA (DOM);Armii Czerwonej 15, 59-920 Bogatynia, Polska;Osiedle Awaryjne;50.90801610;14.95377410;BOGATYNIA;Armii Czerwonej;59-920;powiat zgorzelecki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091602;BOGATYNIA (S);52894;BOGATYNIA;BOGATYNIA (STACJA);Tadeusza Kościuszki, 52-920 Bogatynia, Polska;Osiedle Awaryjne;50.90337620;14.95901450;BOGATYNIA;Tadeusza Kościuszki;59-920;powiat zgorzelecki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091603;BOGATYNIA KWB TU (S);178459;BOGATYNIA KWB TURÓW;BOGATYNIA 3 KWB TURÓW (STACJA);Białopole, powiat zgorzelecki, Polska;NULL;50.88058050;14.90116050;BOGATYNIA KWB TU;NULL;59-921;powiat zgorzelecki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000086707;BOGDANIEC (S);14027;BOGDANIEC;BOGDANIEC (STACJA);BOGDANIEC (STACJA) 66-450 woj.LUBUSKIE;NULL;52.68907135;15.07887869;BOGDANIEC;NULL;66-450;NULL;POLSKA;LUBUSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000090130;BOGONIOWICE CIĘ (S);81067;BOGONIOWICE CIĘŻKOW.;BOGONIOWICE CIĘŻKOWICE (STACJA);Dworzec PKP Bogoniowice Ciężkowice, Kolejowa, Ciężkowice, Polska;Równie;49.79860030;20.97624500;BOGONIOWICE;Kolejowa;33-190;gmina Ciężkowice;POLSKA;MAŁOPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000088623;BOGUCHWAŁA (S);82727;BOGUCHWAŁA;BOGUCHWAŁA (STACJA);DWORZEC PKP BOGUCHWAŁA, KOLEJOWA 17, 36-040 BOGUCHWAŁA, POLSKA;Za Koleją;49.98415147;21.93459034;gmina Boguchwała;Kolejowa;36-040;gmina Boguchwała;POLSKA;województwo podkarpackie;NULL;1000.000;NULL;NULL;NULL;NULL
SV0000094581;BOGUCHWAŁOWICE (D);NULL;NULL;BOGUCHWAŁOWICE (DOM);Skowronków, 42-460 Boguchwałowice, Polska;NULL;50.44787080;19.18735930;BOGUCHWAŁOWICE;Skowronków;42-460;gmina Mierzęcice;POLSKA;ŚLĄSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;BOGUCHWAŁOWICE (S);NULL;NULL;BOGUCHWAŁOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOGUCHWAŁY (D);NULL;NULL;BOGUCHWAŁY (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOGUCHWAŁY (S);NULL;NULL;BOGUCHWAŁY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOGUCICE (D);NULL;NULL;BOGUCICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOGUCICE (S);NULL;NULL;BOGUCICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000094582;BOGUMIŁOWICE (D);NULL;NULL;BOGUMIŁOWICE (DOM);75, 33-121 Bogumiłowice, Polska;NULL;50.00547660;20.86899910;BOGUMIŁOWICE;NULL;33-121;NULL;POLSKA;MAŁOPOLSKIE;NULL;300.000;NULL;NULL;NULL;NULL
SV0000090168;BOGUMIŁOWICE (S);80663;BOGUMIŁOWICE;BOGUMIŁOWICE (STACJA);DWORZEC PKP BOGUMIŁOWICE, 163, 33-121 BOGUMIŁOWICE, POLSKA;NULL;50.00740804;20.86956024;gmina Wierzchosławice;NULL;33-121;gmina Wierzchosławice;POLSKA;województwo małopolskie;NULL;1000.000;NULL;NULL;NULL;NULL
NULL;BOGUSŁAWICE (D);NULL;NULL;BOGUSŁAWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOGUSŁAWICE (S);NULL;NULL;BOGUSŁAWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088770;BOGUSZEWO (S);20966;BOGUSZEWO;BOGUSZEWO (STACJA);BOGUSZEWO (STACJA) 86-330 woj.KUJAWSKO-POMORSKIE;NULL;53.42309400;19.00358670;BOGUSZEWO;NULL;86-330;NULL;POLSKA;KUJAWSKO-POMORSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000091275;BOGUSZÓW G WSCH (S);55251;BOGUSZÓW GORCE WSCHÓD;BOGUSZÓW GORCE WSCHÓD (STACJA);Dworzec PKP Boguszów Gorce Wschód (niecz.), Królowej Jadwigi 4, Boguszów-Gorce, Polska;Kuźnice Zachodnie;50.74776720;16.22140770;BOGUSZÓW-GORCE;Królowej Jadwigi;58-370;powiat wałbrzyski;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091274;BOGUSZÓW G ZACH (S);55269;BOGUSZÓW GORCE ZACHÓD;BOGUSZÓW GORCE ZACHÓD (STACJA);Dworzec PKP Boguszów Gorce Zachód, Wesołowskiego-Masalskiego 11, Boguszów-Gorce, Polska;Nowy Lesieniec;50.76234250;16.16697080;BOGUSZÓW-GORCE;Wesołowskiego-Masalskiego;58-370;powiat wałbrzyski;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091273;BOGUSZÓW GORCE (S);55228;BOGUSZÓW GORCE;BOGUSZÓW GORCE (STACJA);Dworzec PKP Boguszów Gorce, Dworcowa 6, Boguszów-Gorce, Polska;Koło;50.75034660;16.20220300;BOGUSZÓW-GORCE;Dworcowa;58-370;powiat wałbrzyski;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BOHUMIN (S);NULL;NULL;BOHUMIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOHUMIN VRBICE (S);NULL;NULL;BOHUMIN VRBICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087901;BOJANOWO (S);44511;BOJANOWO;BOJANOWO (STACJA);BOJANOWO KOLEJOWA woj.WIELKOPOLSKIE Stacja:BOJANOWO;NULL;51.70027890;16.74452293;BOJANOWO;KOLEJOWA;63-940;NULL;POLSKA;WIELKOPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000094584;BOJANÓW (D);NULL;NULL;BOJANÓW (DOM);Polna, Centrum, Polska;NULL;50.42848050;21.94784110;BOJANÓW;Polna;37-433;gmina Bojanów;POLSKA;PODKARPACKIE;NULL;400.000;NULL;NULL;NULL;NULL
SV0000094583;BOJANÓW (S);NULL;NULL;BOJANÓW (STACJA);861, 37-433 Bojanów, Polska;Biedaczów;50.41735160;21.95090260;BOJANÓW;NULL;37-433;gmina Bojanów;POLSKA;PODKARPACKIE;NULL;400.000;NULL;NULL;NULL;NULL
SV0000086333;BOJARY (S);24554;BOJARY;BOJARY (STACJA);BOJARY (STACJA) 18-106 woj.PODLASKIE;NULL;53.02697419;22.95107782;BOJARY;NULL;18-106;NULL;POLSKA;PODLASKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BOKI SIEDLECKIE (S);NULL;NULL;BOKI SIEDLECKIE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088254;BOKSYCKA (S);49262;BOKSYCKA;BOKSYCKA (STACJA);42, 9, 27-415 RUDKA, POLSKA;NULL;50.95004614;21.32245660;gmina KunówRudka;9;27-415;gmina Kunów;POLSKA;województwo świętokrzyskie;NULL;1000.000;NULL;NULL;l;NULL
SV0000091469;BOLESŁAWICE ŚWID (S);54692;BOLESŁAWICE ŚWIDNICKIE;BOLESŁAWICE ŚWIDNICKIE (STACJA);37, 58-100 Bolesławice, Polska;NULL;50.88841010;16.46475230;BOLESŁAWICE;NULL;58-140;powiat świdnicki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091460;BOLESŁAWIEC (D);NULL;NULL;BOLESŁAWIEC (DOM);Rynek 28, 59-700 Bolesławiec, Polska;NULL;51.26341100;15.56499960;BOLESŁAWIEC;NULL;59-700;Bolesławiec;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BOLESŁAWIEC (M);NULL;NULL;BOLESŁAWIEC (MIASTO);NULL;NULL;NULL;NULL;BOLESŁAWIEC;NULL;NULL;NULL;NULL;NULL;NULL;2000.000;NULL;s;SV0000091460;NULL
SV0000088503;BOLESŁAWIEC (S);53850;BOLESŁAWIEC;BOLESŁAWIEC (STACJA);BOLESŁAWIEC (STACJA) 59-700 woj.DOLNOŚLĄSKIE;NULL;51.26613349;15.56940971;BOLESŁAWIEC;NULL;59-700;NULL;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000088504;BOLESŁAWIEC ZKSM (S);53850;BOLESŁAWIEC;BOLESŁAWIEC ZKSM (STACJA);BOLESŁAWIEC ZKSM (STACJA) 59-700 woj.DOLNOŚLĄSKIE;NULL;51.26613349;15.56940971;BOLESŁAWIEC;NULL;59-700;NULL;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000086063;BOLESZEWO (S);5181;BOLESZEWO;BOLESZEWO (STACJA);BOLESZEWO (STACJA) 76-100 woj.ZACHODNIOPOMORSKIE;NULL;54.37226820;16.58531932;BOLESZEWO;NULL;76-100;NULL;POLSKA;ZACHODNIOPOMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000085498;BOLESZKOWICE (S);13425;BOLESZKOWICE;BOLESZKOWICE (STACJA);DWORZEC PKP BOLESZKOWICE, 26, 74-407 WIERUTNO, POLSKA;NULL;52.73755839;14.51887250;gmina Boleszkowice;NULL;74-407;gmina Boleszkowice;POLSKA;województwo zachodniopomorskie;NULL;1000.000;NULL;NULL;l;NULL
SV0000094586;BOLKÓW (D);NULL;NULL;BOLKÓW (DOM);Władysława Stanisława Reymonta 17, 59-420 Bolków, Polska;NULL;50.92304130;16.10193370;BOLKÓW;Władysława Stanisława Reymonta;59-420;powiat jaworski;POLSKA;DOLNOŚLĄSKIE;NULL;400.000;NULL;NULL;NULL;NULL
SV0000094585;BOLKÓW (S);54460;BOLKÓW;BOLKÓW (STACJA);BOLKÓW, KOLEJOWA 2, 59-420 BOLKÓW, POLSKA;NULL;50.93137364;16.10886455;powiat jaworski;Kolejowa;59-420;powiat jaworski;POLSKA;województwo dolnośląskie;NULL;1000.000;NULL;NULL;NULL;NULL
NULL;BOLSZEWO (S);NULL;NULL;BOLSZEWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV00409;BOLSZEWO PARKOWA 12/10;NULL;NULL;BOLSZEWO PARKOWA 12/10;BOLSZEWO PARKOWA 12/10;Bolszewo Parkowa;54.61641280;18.17890420;BOLSZEWO;PARKOWA;84-239;Polska;POLSKA;POMORSKIE;NULL;2000.000;F;NULL;NULL;NULL
SV0000090897;BORECZEK (S);60160;BORECZEK;BORECZEK (STACJA);Dworzec PKP Boreczek, 10, 57-160 Boreczek, Polska;NULL;50.87890890;17.02482180;BORECZEK;NULL;57-160;gmina Borów;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BOREK (D);NULL;NULL;BOREK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;CENTRUM (S);NULL;NULL;CENTRUM (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086891;CERKIEWNIK (S);9266;CERKIEWNIK;CERKIEWNIK (STACJA);CERKIEWNIK (STACJA) 11-040 woj.WARMIŃSKO-MAZURSKIE;NULL;53.91704000;20.40209000;CERKIEWNIK;NULL;11-040;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;CESKY TESIN (S);NULL;NULL;CESKY TESIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;CESKY TESIN TOW (S);NULL;NULL;CESKY TESIN TOWAROWY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;CHABIELICE (D);NULL;NULL;CHABIELICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;CHABIELICE (S);NULL;NULL;CHABIELICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000094318;CHABÓWKA (S);78709;CHABÓWKA;CHABÓWKA (STACJA);Dworzec PKP Chabówka, Zakopiańska, Rabka-Zdrój, Polska;Sierantówka;49.59679170;19.93667290;CHABÓWKA;Zakopiańska;34-720;gmina Rabka-Zdrój;POLSKA;MAŁOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000090516;CHAŁUPKI (D);NULL;NULL;CHAŁUPKI (DOM);1 Maja, 47-460 Chałupki, Polska;NULL;49.92855430;18.31617200;CHAŁUPKI;1 Maja;47-460;gmina Krzyżanowice;POLSKA;ŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000090515;CHAŁUPKI (S);67900;CHAŁUPKI;CHAŁUPKI (STACJA);Słoneczna, 47-460 Chałupki, Polska;NULL;49.92458050;18.31273050;CHAŁUPKI;Słoneczna;47-460;gmina Krzyżanowice;POLSKA;ŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000086112;CHAŁUPY (S);6734;CHAŁUPY;CHAŁUPY (STACJA);CHAŁUPY (STACJA) 84-120 woj.POMORSKIE;NULL;54.76111132;18.50479501;CHAŁUPY;NULL;84-120;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;CHARCHOCIN (D);NULL;NULL;CHARCHOCIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;CHARCHOCIN (S);NULL;NULL;CHARCHOCIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086061;CHARNOWO SŁUP (S);4978;CHARNOWO SŁUPSKIE;CHARNOWO SŁUPSKIE (STACJA);CHARNOWO SŁUPSKIE (STACJA) 76-200 woj.POMORSKIE;NULL;54.53195300;16.92062930;CHARNOWO SŁUP;NULL;76-200;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000094319;CHARSZNICA (S);64600;CHARSZNICA;CHARSZNICA (STACJA);Kolejowa 1, 32-250 Miechów-Charsznica, Polska;NULL;50.39583350;19.94220300;CHARSZNICA;Kolejowa;32-250;gmina Charsznica;POLSKA;MAŁOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000094320;CHECHŁO (S);NULL;NULL;CHECHŁO (STACJA);Zwycięstwa 2, 95-082 Chechło Drugie, Polska;NULL;51.64448000;19.28711000;CHECHŁO DRUGIE;Zwycięstwa;95-082;gmina Dobroń;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000086458;CHEŁCHY (S);12021;CHEŁCHY;CHEŁCHY (STACJA);CHEŁCHY (STACJA) 19-300 woj.WARMIŃSKO-MAZURSKIE;NULL;53.88103540;22.46833770;CHEŁCHY;NULL;19-300;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000094321;CHEŁM (D);NULL;NULL;CHEŁM (DOM);Jadwigi Młodowskiej, Chełm, Polska;Osiedle Słowackiego;51.13400350;23.47961260;CHEŁM;Jadwigi Młodowskiej;22-100;Chełm;POLSKA;LUBELSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000094322;CHEŁM (M);NULL;NULL;CHEŁM (MIASTO);Jedność 19, 22-100 Chełm, Polska;Osiedle Słowackiego;51.13755490;23.48578480;CHEŁM;Jedność;22-100;Chełm;POLSKA;LUBELSKIE;NULL;500.000;NULL;NULL;NULL;NULL
SV0000087663;CHEŁM (S);50906;CHEŁM;CHEŁM (STACJA);CHEŁM STAROŚCIŃSKA woj.LUBELSKIE Stacja:CHEŁM;NULL;51.13468200;23.48173020;CHEŁM;STAROŚCIŃSKA;22-100;NULL;POLSKA;LUBELSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
