sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
SV0000085253;MOKRA CZĘSTOCHOW (S);71951;MOKRA CZĘSTOCHOWSKA;MOKRA CZĘSTOCHOWSKA (STACJA);MOKRA CZĘSTOCHOWSKA (STACJA) 42-120 woj.ŚLĄSKIE;NULL;50.96099830;18.92584120;MOKRA CZĘSTOCHOW;NULL;42-120;NULL;POLSKA;ŚLĄSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;MOKRA WIEŚ (S);37994;MOKRA WIEŚ;MOKRA WIEŚ (STACJA);Mokra Wieś, gmina Podegrodzie, Polska;NULL;49.60048000;20.55706000;Mokra Wieś;NULL;05-240;gmina Podegrodzie;Polska;województwo małopolskie;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000093300;MOKRE (D);NULL;NULL;MOKRE (DOM);15 Sierpnia 100, 05-250 Nowe Mokre, Polska;NULL;52.44862000;21.17486000;MOKRE;15 Sierpnia;05-250;gmina Radzymin;POLSKA;MAZOWIECKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000090913;MOKRE (M);NULL;NULL;MOKRE (MIESZKANIE SŁ);15 Sierpnia 57, 05-250 Mokre, Polska;NULL;52.44672000;21.18126000;MOKRE;15 Sierpnia;05-250;gmina Radzymin;POLSKA;MAZOWIECKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MOKRE (S);NULL;NULL;MOKRE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088070;ŁOSOSIOWICE (S);60368;ŁOSOSIOWICE;ŁOSOSIOWICE (STACJA);ŁOSOSIOWICE (STACJA) 56-100 woj.DOLNOŚLĄSKIE;NULL;51.29886271;16.67300661;ŁOSOSIOWICE;NULL;56-100;NULL;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;ŁOSOŚNA BSZ (S);NULL;NULL;ŁOSOŚNA BSZ (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ŁOWCZÓW (D);NULL;NULL;ŁOWCZÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000090135;ŁOWCZÓW (S);80978;ŁOWCZÓW;ŁOWCZÓW (STACJA);44, 33-170 Łowczów, Polska;NULL;49.91418140;20.98914940;ŁOWCZÓW;NULL;33-170;gmina Tuchów;POLSKA;MAŁOPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000090136;ŁOWCZÓWEK PLEŚNA (S);80952;ŁOWCZÓWEK PLEŚNA;ŁOWCZÓWEK PLEŚNA (STACJA);Dworzec PKP Łowczówek Pleśna, 148, 33-171 Łowczówek, Polska;NULL;49.92829370;20.94934970;PLEŚNA;NULL;33-171;NULL;POLSKA;MAŁOPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;ŁOWICZ (D);NULL;NULL;ŁOWICZ (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ŁOWICZ (S);NULL;NULL;ŁOWICZ (STACJA);NULL;NULL;NULL;NULL;ŁOWICZ;NULL;NULL;NULL;NULL;NULL;NULL;2000.000;NULL;s;SV0000088846;NULL
SV0000088950;ŁOWICZ GŁÓW LG1 (S);201088;ŁOWICZ GŁÓWNY LG1;ŁOWICZ GŁÓWNY LG1 (STACJA);ŁOWICZ GŁÓWNY LG1 (STACJA) 99-400 woj.ŁÓDZKIE;NULL;52.09547490;19.96937450;ŁOWICZ;NULL;99-400;NULL;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000088846;ŁOWICZ GŁÓWNY (S);32904;ŁOWICZ GŁÓWNY;ŁOWICZ GŁÓWNY (STACJA);ŁOWICZ GŁÓWNY (STACJA) 99-400 woj.ŁÓDZKIE;NULL;52.10572740;19.95425130;ŁOWICZ;NULL;99-400;NULL;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;l;NULL
