,kod,plk,stacja,opiskod1,pelna,szerokosc,dlugosc,wojewodztwo,Coordinates
2328,SZCZECIN POMORZA (S),265.0,SZCZECIN POMORZANY,SZCZECIN POMORZANY (STACJA),SZCZECIN MIESZKA I woj.ZACHODNIOPOMORSKIE Stacja:SZCZECIN POMORZANY,53.4144689,14.5300637,ZACHODNIOPOMORSKIE,"53.4144689,14.5300637,SZCZECIN POMORZANY (STACJA)"
2331,SZCZECIN SKOLWIN (S),729.0,SZCZECIN SKOLWIN,SZCZECIN SKOLWIN (STACJA),SZCZECIN STOŁCZYŃSKA woj.ZACHODNIOPOMORSKIE Stacja:SZCZECIN SKOLWIN,53.51630885,14.61428209,ZACHODNIOPOMORSKIE,"53.51630885,14.61428209,SZCZECIN SKOLWIN (STACJA)"
2332,SZCZECIN TURZYN (S),406.0,SZCZECIN TURZYN,SZCZECIN TURZYN (STACJA),SZCZECIN 26 KWIETNIA woj.ZACHODNIOPOMORSKIE Stacja:SZCZECIN TURZYN,53.42882595,14.5267678,ZACHODNIOPOMORSKIE,"53.42882595,14.5267678,SZCZECIN TURZYN (STACJA)"
2333,SZCZECIN WZG HET (S),240.0,SZCZECIN WZGÓRZE HETMAŃSKIE,SZCZECIN WZGÓRZE HETMAŃSKIE (STACJA),SZCZECIN WZGÓRZE HETMAŃSKIE (STACJA) 71-010 woj.ZACHODNIOPOMORSKIE,53.4049376,14.51671816,ZACHODNIOPOMORSKIE,"53.4049376,14.51671816,SZCZECIN WZGÓRZE HETMAŃSKIE (STACJA)"
2334,SZCZECIN ZAŁOM (S),1180.0,SZCZECIN ZAŁOM,SZCZECIN ZAŁOM (STACJA),SZCZECIN ZAŁOM (STACJA) 70-895 woj.ZACHODNIOPOMORSKIE,53.42928445,14.74299655,ZACHODNIOPOMORSKIE,"53.42928445,14.74299655,SZCZECIN ZAŁOM (STACJA)"
2335,SZCZECIN ZDROJE (S),1123.0,SZCZECIN ZDROJE,SZCZECIN ZDROJE (STACJA),SZCZECIN WALECZNYCH woj.ZACHODNIOPOMORSKIE Stacja:SZCZECIN ZDROJE,53.3784649,14.637561,ZACHODNIOPOMORSKIE,"53.3784649,14.637561,SZCZECIN ZDROJE (STACJA)"
2336,SZCZECIN ZDUNOWO (S),1214.0,SZCZECIN ZDUNOWO,SZCZECIN ZDUNOWO (STACJA),SZCZECIN ZDUNOWO (STACJA) 70-880 woj.ZACHODNIOPOMORSKIE,53.38280631,14.76725315,ZACHODNIOPOMORSKIE,"53.38280631,14.76725315,SZCZECIN ZDUNOWO (STACJA)"
2338,SZCZECINEK (S),3004.0,SZCZECINEK,SZCZECINEK (STACJA),SZCZECINEK (STACJA) 78-400 woj.ZACHODNIOPOMORSKIE,53.69356386,16.70526837,ZACHODNIOPOMORSKIE,"53.69356386,16.70526837,SZCZECINEK (STACJA)"
2339,SZCZECINEK CHYŻE (S),2998.0,SZCZECINEK CHYŻE,SZCZECINEK CHYŻE (STACJA),SZCZECINEK CHYŻE (STACJA) 78-400 woj.ZACHODNIOPOMORSKIE,53.71763774,16.69873757,ZACHODNIOPOMORSKIE,"53.71763774,16.69873757,SZCZECINEK CHYŻE (STACJA)"
2341,SZCZEDRZYKOWICE (S),53124.0,SZCZEDRZYKOWICE,SZCZEDRZYKOWICE (STACJA),"20, 59-230 Szczedrzykowice, Polska",51.2153056,16.3509045,DOLNOŚLĄSKIE,"51.2153056,16.3509045,SZCZEDRZYKOWICE (STACJA)"
2342,SZCZEKARKÓW (S),40089.0,SZCZEKARKÓW,SZCZEKARKÓW (STACJA),SZCZEKARKÓW (STACJA) 21-100 woj.LUBELSKIE,51.4933083,22.6378897,LUBELSKIE,"51.4933083,22.6378897,SZCZEKARKÓW (STACJA)"
2347,SZCZEPANKOWO (S),28845.0,SZCZEPANKOWO,SZCZEPANKOWO (STACJA),SZCZEPANKOWO (STACJA) 64-560 woj.WIELKOPOLSKIE,52.61595958,16.50017948,WIELKOPOLSKIE,"52.61595958,16.50017948,SZCZEPANKOWO (STACJA)"
2348,SZCZEPANOWICE (S),79434.0,SZCZEPANOWICE,SZCZEPANOWICE (STACJA),"Szczepanowice, gmina Miechów, Polska",50.3012952,20.0453666,MAŁOPOLSKIE,"50.3012952,20.0453666,SZCZEPANOWICE (STACJA)"
2349,SZCZEPANÓW (S),54858.0,SZCZEPANÓW,SZCZEPANÓW (STACJA),"6, 58-123 Szczepanów, Polska",50.8980795,16.6247133,DOLNOŚLĄSKIE,"50.8980795,16.6247133,SZCZEPANÓW (STACJA)"
2350,SZCZEPICE (S),31658.0,SZCZEPICE,SZCZEPICE (STACJA),SZCZEPICE (STACJA) 89-240 woj.KUJAWSKO-POMORSKIE,53.03237502,17.53924209,KUJAWSKO-POMORSKIE,"53.03237502,17.53924209,SZCZEPICE (STACJA)"
2365,SZCZUTOWO (S),32763.0,SZCZUTOWO,SZCZUTOWO (STACJA),SZCZUTOWO (STACJA) 87-404 woj.KUJAWSKO-POMORSKIE,53.1075994,19.2300095,KUJAWSKO-POMORSKIE,"53.1075994,19.2300095,SZCZUTOWO (STACJA)"
2369,SZCZYTNA (S),57513.0,SZCZYTNA,SZCZYTNA (STACJA),"Henryka Sienkiewicza, Szczytna, Polska",50.4062844,16.452833,DOLNOŚLĄSKIE,"50.4062844,16.452833,SZCZYTNA (STACJA)"
2375,SZCZYTNO (M),10603.0,SZCZYTNO,SZCZYTNO (MIASTO),SZCZYTNO PL. JURANDA woj.WARMIŃSKO-MAZURSKIE Stacja:SZCZYTNO,53.565489,20.991589,WARMIŃSKO-MAZURSKIE,"53.565489,20.991589,SZCZYTNO (MIASTO)"
2376,SZCZYTNO (S),10603.0,SZCZYTNO,SZCZYTNO (STACJA),SZCZYTNO PL. JURANDA woj.WARMIŃSKO-MAZURSKIE Stacja:SZCZYTNO,53.565489,20.991589,WARMIŃSKO-MAZURSKIE,"53.565489,20.991589,SZCZYTNO (STACJA)"
2378,SZEBNIE (S),82883.0,SZEBNIE,SZEBNIE (STACJA),SZEBNIE (STACJA) 38-203 woj.PODKARPACKIE,49.7589559,21.5970934,PODKARPACKIE,"49.7589559,21.5970934,SZEBNIE (STACJA)"
2379,SZELIGI (S),48983.0,SZELIGI,SZELIGI (STACJA),SZELIGI (STACJA) 09-472 woj.MAZOWIECKIE,52.517553,19.8693688,MAZOWIECKIE,"52.517553,19.8693688,SZELIGI (STACJA)"
2381,SZEPIETOWO (S),24638.0,SZEPIETOWO,SZEPIETOWO (STACJA),SZEPIETOWO JANA PAWŁA II woj.PODLASKIE Stacja:SZEPIETOWO,52.8700073,22.5483308,PODLASKIE,"52.8700073,22.5483308,SZEPIETOWO (STACJA)"
2384,SZEWCE (S),58768.0,SZEWCE,SZEWCE (STACJA),SZEWCE STACYJNA woj.DOLNOŚLĄSKIE Stacja:SZEWCE,51.21518686,16.95498824,DOLNOŚLĄSKIE,"51.21518686,16.95498824,SZEWCE (STACJA)"
2387,SZKLARSKA POR DO (S),56168.0,SZKLARSKA PORĘBA DOLNA,SZKLARSKA PORĘBA DOLNA (STACJA),"Kolejowa 25A, 58-580 Szklarska Poręba, Polska",50.84898,15.5582251,DOLNOŚLĄSKIE,"50.84898,15.5582251,SZKLARSKA PORĘBA DOLNA (STACJA)"
2388,SZKLARSKA POR GÓ (S),56184.0,SZKLARSKA PORĘBA GÓRNA,SZKLARSKA PORĘBA GÓRNA (STACJA),"Dworcowa 10, 58-580 Szklarska Poręba, Polska",50.8324371,15.5187792,DOLNOŚLĄSKIE,"50.8324371,15.5187792,SZKLARSKA PORĘBA GÓRNA (STACJA)"
2389,SZKLARSKA POR ŚR (S),56176.0,SZKLARSKA PORĘBA ŚREDNIA,SZKLARSKA PORĘBA ŚREDNIA (STACJA),"Muzealna 1, 58-580 Szklarska Poręba, Polska",50.83833,15.5397,DOLNOŚLĄSKIE,"50.83833,15.5397,SZKLARSKA PORĘBA ŚREDNIA (STACJA)"
2391,SZLACHTA (S),9027.0,SZLACHTA,SZLACHTA (STACJA),SZLACHTA DWORCOWA woj.POMORSKIE Stacja:SZLACHTA,53.76310943,18.11874006,POMORSKIE,"53.76310943,18.11874006,SZLACHTA (STACJA)"
2394,SZOŁDRY (S),45047.0,SZOŁDRY,SZOŁDRY (STACJA),SZOŁDRY (STACJA) 63-112 woj.WIELKOPOLSKIE,52.12915,16.83695,WIELKOPOLSKIE,"52.12915,16.83695,SZOŁDRY (STACJA)"
2398,SZOZDY (S),66431.0,SZOZDY,SZOZDY (STACJA),"42, 23-407 SZOZDY, POLSKA",50.5785216,22.9369882,LUBELSKIE,"50.5785216,22.9369882,SZOZDY (STACJA)"
2402,SZPĘGAWSK (S),8714.0,SZPĘGAWSK,SZPĘGAWSK (STACJA),SZPĘGAWSK (STACJA) 83-200 woj.POMORSKIE,54.00630532,18.60871052,POMORSKIE,"54.00630532,18.60871052,SZPĘGAWSK (STACJA)"
2405,SZPROTAWA (S),41244.0,SZPROTAWA,SZPROTAWA (STACJA),"Mikołaja Kopernika, Szprotawa, Polska",51.5680254,15.5352199,LUBUSKIE,"51.5680254,15.5352199,SZPROTAWA (STACJA)"
2407,SZRENIAWA (S),30486.0,SZRENIAWA,SZRENIAWA (STACJA),SZRENIAWA DWORCOWA woj.WIELKOPOLSKIE Stacja:SZRENIAWA,52.31759016,16.79984694,WIELKOPOLSKIE,"52.31759016,16.79984694,SZRENIAWA (STACJA)"
2409,SZTUM (S),8086.0,SZTUM,SZTUM (STACJA),SZTUM MICKIEWICZA woj.POMORSKIE Stacja:SZTUM,53.9197704,19.0305938,POMORSKIE,"53.9197704,19.0305938,SZTUM (STACJA)"
2412,SZUBIN (S),18465.0,SZUBIN,SZUBIN (STACJA),SZUBIN DWORCOWA woj.KUJAWSKO-POMORSKIE Stacja:SZUBIN,53.00387051,17.7456186,KUJAWSKO-POMORSKIE,"53.00387051,17.7456186,SZUBIN (STACJA)"
2413,SZULBORZE KOTY (S),24745.0,SZULBORZE KOTY,SZULBORZE KOTY (STACJA),SZULBORZE WIELKIE KARD. WYSZYŃSKIEGO S. woj.MAZOWIECKIE Stacja:SZULBORZE KOTY,52.7604408,22.2271543,MAZOWIECKIE,"52.7604408,22.2271543,SZULBORZE KOTY (STACJA)"
2414,SZUMIRAD (S),61473.0,SZUMIRAD,SZUMIRAD (STACJA),SZUMIRAD (STACJA) 46-275 woj.OPOLSKIE,50.85908374,18.27277331,OPOLSKIE,"50.85908374,18.27277331,SZUMIRAD (STACJA)"
2415,SZYBOWICE (S),56937.0,SZYBOWICE,SZYBOWICE (STACJA),"Dworzec PKP Szybowice, 55, 48-200 Szybowice, Polska",50.3447747,17.4811442,OPOLSKIE,"50.3447747,17.4811442,SZYBOWICE (STACJA)"
2418,SZYDŁOWIEC (S),48082.0,SZYDŁOWIEC,SZYDŁOWIEC (STACJA),"DWORZEC PKP SZYDŁOWIEC, 4015W, 26-502 GĄSAWY RZĄDOWE, POLSKA",51.2076463,20.92298985,województwo mazowieckie,"51.2076463,20.92298985,SZYDŁOWIEC (STACJA)"
2419,SZYDŁOWIEC ŚLĄSK (S),60830.0,SZYDŁOWIEC ŚLĄSKI,SZYDŁOWIEC ŚLĄSKI (STACJA),"Szydłowiec Śląski, gmina Niemodlin, Polska",50.6770711,17.6059279,OPOLSKIE,"50.6770711,17.6059279,SZYDŁOWIEC ŚLĄSKI (STACJA)"
2421,SZYDŁÓW (S),60749.0,SZYDŁÓW,SZYDŁÓW (STACJA),"Kolejowa, Święty Hubert, Polska",50.6060889,17.7063147,OPOLSKIE,"50.6060889,17.7063147,SZYDŁÓW (STACJA)"
2422,SZYMANKOWO (S),7195.0,SZYMANKOWO,SZYMANKOWO (STACJA),SZYMANKOWO BOHATERÓW WRZEŚNIA 1939 R. woj.POMORSKIE Stacja:SZYMANKOWO,54.07363,18.92254,POMORSKIE,"54.07363,18.92254,SZYMANKOWO (STACJA)"
2427,SZYMBORY (S),24695.0,SZYMBORY,SZYMBORY (STACJA),SZYMBORY (STACJA) 18-210 woj.PODLASKIE,52.8924322,22.6046366,PODLASKIE,"52.8924322,22.6046366,SZYMBORY (STACJA)"
2428,SZYMISZÓW (S),61747.0,SZYMISZÓW,SZYMISZÓW (STACJA),SZYMISZÓW FABRYCZNA woj.OPOLSKIE Stacja:SZYMISZÓW,50.52858327,18.22345182,OPOLSKIE,"50.52858327,18.22345182,SZYMISZÓW (STACJA)"
2430,SZYMOCICE (S),68841.0,SZYMOCICE,SZYMOCICE (STACJA),"Dworzec PKP Szymocice, Gliwicka, Piła, Polska",50.1511084,18.3492862,ŚLĄSKIE,"50.1511084,18.3492862,SZYMOCICE (STACJA)"
2431,ŚCIBORZYCE MAŁE (S),67629.0,ŚCIBORZYCE MAŁE,ŚCIBORZYCE MAŁE (STACJA),"93, 48-100 Ściborzyce Małe, Polska",50.2679951,17.7657719,OPOLSKIE,"50.2679951,17.7657719,ŚCIBORZYCE MAŁE (STACJA)"
2432,ŚCINAWA (S),60400.0,ŚCINAWA,ŚCINAWA (STACJA),ŚCINAWA (STACJA) 59-330 woj.DOLNOŚLĄSKIE,51.40974709,16.4205741,DOLNOŚLĄSKIE,"51.40974709,16.4205741,ŚCINAWA (STACJA)"
2433,ŚCINAWKA ŚREDNIA (S),57901.0,ŚCINAWKA ŚREDNIA,ŚCINAWKA ŚREDNIA (STACJA),"Kolejowa 3, 57-410 Ścinawka Średnia, Polska",50.5264054,16.504686,DOLNOŚLĄSKIE,"50.5264054,16.504686,ŚCINAWKA ŚREDNIA (STACJA)"
2435,ŚLESIN (S),18549.0,ŚLESIN,ŚLESIN (STACJA),ŚLESIN STAWOWA woj.KUJAWSKO-POMORSKIE Stacja:ŚLESIN,53.15612456,17.70137514,KUJAWSKO-POMORSKIE,"53.15612456,17.70137514,ŚLESIN (STACJA)"
2437,ŚLIWICE (S),17350.0,ŚLIWICE STH I PO,ŚLIWICE (STACJA),ŚLIWICE 19 LUTEGO woj.KUJAWSKO-POMORSKIE Stacja:ŚLIWICE STH I PO,53.71284174,18.18222628,KUJAWSKO-POMORSKIE,"53.71284174,18.18222628,ŚLIWICE (STACJA)"
2440,ŚLIWICZKI (S),17343.0,ŚLIWICZKI,ŚLIWICZKI (STACJA),ŚLIWICZKI (STACJA) 89-530 woj.KUJAWSKO-POMORSKIE,53.68303095,18.19456664,KUJAWSKO-POMORSKIE,"53.68303095,18.19456664,ŚLIWICZKI (STACJA)"
2449,ŚREM (S),45005.0,ŚREM,ŚREM (STACJA),ŚREM (STACJA) 63-100 woj.WIELKOPOLSKIE,52.09263831,17.01199822,WIELKOPOLSKIE,"52.09263831,17.01199822,ŚREM (STACJA)"
2451,ŚREM ODLEWNIA (S),45039.0,ŚREM ODLEWNIA,ŚREM ODLEWNIA (STACJA),ŚREM ODLEWNIA (STACJA) 63-100 woj.WIELKOPOLSKIE,52.0777995,17.0315748,WIELKOPOLSKIE,"52.0777995,17.0315748,ŚREM ODLEWNIA (STACJA)"
2452,ŚRODA ŚLĄSKA (S),59048.0,ŚRODA ŚLĄSKA,ŚRODA ŚLĄSKA (STACJA),"Stacyjna 1, Środa Śląska, Polska",51.1888876,16.6061846,DOLNOŚLĄSKIE,"51.1888876,16.6061846,ŚRODA ŚLĄSKA (STACJA)"
2453,ŚRODA WIELKOPOLS (S),30205.0,ŚRODA WIELKOPOLSKA,ŚRODA WIELKOPOLSKA (STACJA),ŚRODA WIELKOPOLSKA (STACJA) 63-000 woj.WIELKOPOLSKIE,52.21816597,17.27456833,WIELKOPOLSKIE,"52.21816597,17.27456833,ŚRODA WIELKOPOLSKA (STACJA)"
2454,ŚRÓDBORÓW (S),38919.0,ŚRÓDBORÓW,ŚRÓDBORÓW (STACJA),OTWOCK NORWIDA C.K. woj.MAZOWIECKIE Stacja:ŚRÓDBORÓW,52.103058,21.2918629,MAZOWIECKIE,"52.103058,21.2918629,ŚRÓDBORÓW (STACJA)"
2458,ŚWIĄTNIKI (S),30841.0,ŚWIĄTNIKI,ŚWIĄTNIKI (STACJA),ŚWIĄTNIKI (STACJA) 62-212 woj.WIELKOPOLSKIE,52.6322222,17.5438889,WIELKOPOLSKIE,"52.6322222,17.5438889,ŚWIĄTNIKI (STACJA)"
2459,ŚWIBA (S),45583.0,ŚWIBA,ŚWIBA (STACJA),ŚWIBA (STACJA) 63-600 woj.WIELKOPOLSKIE,51.30072871,18.08561779,WIELKOPOLSKIE,"51.30072871,18.08561779,ŚWIBA (STACJA)"
2460,ŚWIDER (S),38869.0,ŚWIDER,ŚWIDER (STACJA),ŚWIDER (STACJA) 05-400 woj.MAZOWIECKIE,52.1351039,21.3496773,MAZOWIECKIE,"52.1351039,21.3496773,ŚWIDER (STACJA)"
2463,ŚWIDNICA MIASTO (S),54817.0,ŚWIDNICA MIASTO,ŚWIDNICA MIASTO (STACJA),"Dworzec Kolejowy Świdnica Miasto, Plac Grunwaldzki, 58-100 Świdnica, Polska",50.8412089,16.4819417,DOLNOŚLĄSKIE,"50.8412089,16.4819417,ŚWIDNICA MIASTO (STACJA)"
2466,ŚWIDNICA PRZEDMI (S),54700.0,ŚWIDNICA PRZEDMIEŚCIE,ŚWIDNICA PRZEDMIEŚCIE (STACJA),"Świdnica Przedmieście, Jodłowa 33, 58-100 Świdnica, Polska",50.8351508,16.5038713,DOLNOŚLĄSKIE,"50.8351508,16.5038713,ŚWIDNICA PRZEDMIEŚCIE (STACJA)"
2469,ŚWIDNIK (S),50476.0,ŚWIDNIK,ŚWIDNIK (STACJA),ŚWIDNIK BACZYŃSKIEGO K. woj.LUBELSKIE Stacja:ŚWIDNIK,51.2204629,22.6998639,LUBELSKIE,"51.2204629,22.6998639,ŚWIDNIK (STACJA)"
2470,ŚWIDNIK MIASTO (S),54817.0,ŚWIDNICA MIASTO,ŚWIDNIK MIASTO (STACJA),ŚWIDNIK ŻWIRKI I WIGURY woj.LUBELSKIE Stacja:ŚWIDNICA MIASTO,51.2237184,22.6954138,LUBELSKIE,"51.2237184,22.6954138,ŚWIDNIK MIASTO (STACJA)"
2471,ŚWIDNIK WSCHÓD (S),50492.0,ŚWIDNIK WSCHÓD,ŚWIDNIK WSCHÓD (STACJA),ŚWIDNIK GEN. MACZKA S. woj.LUBELSKIE Stacja:ŚWIDNIK WSCHÓD,51.2210444,22.7143765,LUBELSKIE,"51.2210444,22.7143765,ŚWIDNIK WSCHÓD (STACJA)"
2472,ŚWIDWIE SĘPOLEŃS (S),15842.0,ŚWIDWIE SĘPOLEŃSKIE,ŚWIDWIE SĘPOLEŃSKIE (STACJA),ŚWIDWIE SĘPOLEŃSKIE (STACJA) 89-400 woj.KUJAWSKO-POMORSKIE,53.43480817,17.54789797,KUJAWSKO-POMORSKIE,"53.43480817,17.54789797,ŚWIDWIE SĘPOLEŃSKIE (STACJA)"
2474,ŚWIDWIN (S),3632.0,ŚWIDWIN,ŚWIDWIN (STACJA),ŚWIDWIN (STACJA) 78-300 woj.ZACHODNIOPOMORSKIE,53.78132149,15.77264085,ZACHODNIOPOMORSKIE,"53.78132149,15.77264085,ŚWIDWIN (STACJA)"
2476,ŚWIEBODZICE (S),54528.0,ŚWIEBODZICE,ŚWIEBODZICE (STACJA),"Dworzec PKP Świebodzice, Plac Dworcowy 1a, 58-160 Świebodzice, Polska",50.8600242,16.33274,DOLNOŚLĄSKIE,"50.8600242,16.33274,ŚWIEBODZICE (STACJA)"
2479,ŚWIEBODZIN (S),28100.0,ŚWIEBODZIN,ŚWIEBODZIN (STACJA),ŚWIEBODZIN PL. DWORCOWY woj.LUBUSKIE Stacja:ŚWIEBODZIN,52.2458332,15.53897676,LUBUSKIE,"52.2458332,15.53897676,ŚWIEBODZIN (STACJA)"
2481,ŚWIECIE (M),16949.0,ŚWIECIE N. WISŁĄ STH I PO,ŚWIECIE (MIASTO),"I Liceum Ogólnokształcące im. Floriana Ceynowy, Gimnazjalna 3, 86-100 Świecie, Polska",53.4078441,18.4453322,KUJAWSKO-POMORSKIE,"53.4078441,18.4453322,ŚWIECIE (MIASTO)"
2482,ŚWIECIE (S),16931.0,ŚWIECIE PRZECHOWO,ŚWIECIE (STACJA),ŚWIECIE (STACJA) 86-100 woj.KUJAWSKO-POMORSKIE,53.3991589,18.4051381,KUJAWSKO-POMORSKIE,"53.3991589,18.4051381,ŚWIECIE (STACJA)"
2484,ŚWIECIE PRZECHOW (S),16931.0,ŚWIECIE PRZECHOWO,ŚWIECIE PRZECHOWO (STACJA),ŚWIECIE PRZECHOWO (STACJA) 86-100 woj.KUJAWSKO-POMORSKIE,53.3991589,18.4051381,KUJAWSKO-POMORSKIE,"53.3991589,18.4051381,ŚWIECIE PRZECHOWO (STACJA)"
2485,ŚWIECIE WISŁ ZCI (S),16949.0,ŚWIECIE N. WISŁĄ STH I PO,ŚWIECIE N. WISŁĄ ZCIP (STACJA),ŚWIECIE N. WISŁĄ ZCIP (STACJA) 86-100 woj.KUJAWSKO-POMORSKIE,53.40248145,18.42360261,KUJAWSKO-POMORSKIE,"53.40248145,18.42360261,ŚWIECIE N. WISŁĄ ZCIP (STACJA)"
2488,ŚWIEKATOWO (S),16568.0,ŚWIEKATOWO,ŚWIEKATOWO (STACJA),ŚWIEKATOWO (STACJA) 86-182 woj.KUJAWSKO-POMORSKIE,53.41745032,18.10547856,KUJAWSKO-POMORSKIE,"53.41745032,18.10547856,ŚWIEKATOWO (STACJA)"
2489,ŚWIERCZE (S),36830.0,ŚWIERCZE,ŚWIERCZE (STACJA),ŚWIERCZE (STACJA) 08-106 woj.MAZOWIECKIE,52.1147222,22.3630556,MAZOWIECKIE,"52.1147222,22.3630556,ŚWIERCZE (STACJA)"
2490,ŚWIERKI DOLNE (S),57984.0,ŚWIERKI DOLNE,ŚWIERKI DOLNE (STACJA),"135, 57-451 Świerki, Polska",50.6320504,16.4321149,DOLNOŚLĄSKIE,"50.6320504,16.4321149,ŚWIERKI DOLNE (STACJA)"
2494,ŚWIERZAWA (S),53785.0,ŚWIERZAWA,ŚWIERZAWA (STACJA),"Lipowa, Świerzawa, Polska",51.0225059,15.8899431,DOLNOŚLĄSKIE,"51.0225059,15.8899431,ŚWIERZAWA (STACJA)"
2497,ŚWIERŻE GÓRNE (S),50237.0,ŚWIERŻE GÓRNE,ŚWIERŻE GÓRNE (STACJA),"CHINÓW, GMINA KOZIENICE, POLSKA",51.64027398,21.457479,województwo mazowieckie,"51.64027398,21.457479,ŚWIERŻE GÓRNE (STACJA)"
2500,ŚWIĘTA KATARZYNA (S),58230.0,ŚWIĘTA KATARZYNA,ŚWIĘTA KATARZYNA (STACJA),"Dworzec PKP Święta Katarzyna, Kolejowa, 55-010 Święta Katarzyna, Polska",51.0295875,17.1227353,DOLNOŚLĄSKIE,"51.0295875,17.1227353,ŚWIĘTA KATARZYNA (STACJA)"
2505,ŚWIĘTOSZÓW (S),52282.0,ŚWIĘTOSZÓW,ŚWIĘTOSZÓW (STACJA),ŚWIĘTOSZÓW (STACJA) 59-726 woj.DOLNOŚLĄSKIE,51.469148,15.3765845,DOLNOŚLĄSKIE,"51.469148,15.3765845,ŚWIĘTOSZÓW (STACJA)"
2506,ŚWIĘTY KAMIEŃ (S),8334.0,ŚWIĘTY KAMIEŃ,ŚWIĘTY KAMIEŃ (STACJA),ŚWIĘTY KAMIEŃ (STACJA) 11-412 woj.WARMIŃSKO-MAZURSKIE,54.31381,21.41006,WARMIŃSKO-MAZURSKIE,"54.31381,21.41006,ŚWIĘTY KAMIEŃ (STACJA)"
2507,ŚWILCZA (S),81323.0,ŚWILCZA,ŚWILCZA (STACJA),ŚWILCZA (STACJA) 36-072 woj.PODKARPACKIE,50.0714236,21.8998941,PODKARPACKIE,"50.0714236,21.8998941,ŚWILCZA (STACJA)"
2512,ŚWINOUJŚCIE (S),1008.0,ŚWINOUJŚCIE,ŚWINOUJŚCIE (STACJA),ŚWINOUJŚCIE DWORCOWA woj.ZACHODNIOPOMORSKIE Stacja:ŚWINOUJŚCIE,53.9050752,14.2666186,ZACHODNIOPOMORSKIE,"53.9050752,14.2666186,ŚWINOUJŚCIE (STACJA)"
2513,ŚWINOUJŚCIE B PM (S),178814.0,ŚWINOUJŚCIE BAZA P.M.,ŚWINOUJŚCIE BAZA P.M. (STACJA),ŚWINOUJŚCIE KASZTANOWA woj.ZACHODNIOPOMORSKIE Stacja:ŚWINOUJŚCIE BAZA P.M.,53.9136221,14.2890915,ZACHODNIOPOMORSKIE,"53.9136221,14.2890915,ŚWINOUJŚCIE BAZA P.M. (STACJA)"
2514,ŚWINOUJŚCIE ODRA (S),1057.0,ŚWINOUJŚCIE ODRA,ŚWINOUJŚCIE ODRA (STACJA),ŚWINOUJŚCIE WRZOSOWA woj.ZACHODNIOPOMORSKIE Stacja:ŚWINOUJŚCIE ODRA,53.9019702,14.2852273,ZACHODNIOPOMORSKIE,"53.9019702,14.2852273,ŚWINOUJŚCIE ODRA (STACJA)"
2515,ŚWINOUJŚCIE PORT (S),1073.0,ŚWINOUJŚCIE PORT,ŚWINOUJŚCIE PORT (STACJA),ŚWINOUJŚCIE DWORCOWA woj.ZACHODNIOPOMORSKIE Stacja:ŚWINOUJŚCIE PORT,53.9050752,14.2666186,ZACHODNIOPOMORSKIE,"53.9050752,14.2666186,ŚWINOUJŚCIE PORT (STACJA)"
2516,ŚWINOUJŚCIE PRZY (S),1040.0,ŚWINOUJŚCIE PRZYTÓR,ŚWINOUJŚCIE PRZYTÓR (STACJA),ŚWINOUJŚCIE PRZYTÓR (STACJA) 72-600 woj.ZACHODNIOPOMORSKIE,53.8979866,14.3325734,ZACHODNIOPOMORSKIE,"53.8979866,14.3325734,ŚWINOUJŚCIE PRZYTÓR (STACJA)"
2517,ŚWINOUJŚCIE SIA (S),201066.0,ŚWINOUJŚCIE SIA,ŚWINOUJŚCIE SIA (STACJA),ŚWINOUJŚCIE BARLICKIEGO N. woj.ZACHODNIOPOMORSKIE Stacja:ŚWINOUJŚCIE SIA,53.8976177,14.3262941,ZACHODNIOPOMORSKIE,"53.8976177,14.3262941,ŚWINOUJŚCIE SIA (STACJA)"
2518,ŚWINOUJŚCIE SIB (S),178782.0,ŚWINOUJŚCIE SIB,ŚWINOUJŚCIE SIB (STACJA),ŚWINOUJŚCIE BARLICKIEGO N. woj.ZACHODNIOPOMORSKIE Stacja:ŚWINOUJŚCIE SIB,53.8980287,14.3211023,ZACHODNIOPOMORSKIE,"53.8980287,14.3211023,ŚWINOUJŚCIE SIB (STACJA)"
2521,TACISZÓW (S),70169.0,TACISZÓW,TACISZÓW (STACJA),"Dworzec PKP 2, 44-171 Kleszczów, Polska",50.3574763,18.5075323,ŚLĄSKIE,"50.3574763,18.5075323,TACISZÓW (STACJA)"
2524,TARCHAŁY WIELKIE (S),46045.0,TARCHAŁY WIELKIE,TARCHAŁY WIELKIE (STACJA),TARCHAŁY WIELKIE (STACJA) 63-430 woj.WIELKOPOLSKIE,51.58741483,17.70285113,WIELKOPOLSKIE,"51.58741483,17.70285113,TARCHAŁY WIELKIE (STACJA)"
2525,TARCZYN (S),47175.0,TARCZYN,TARCZYN (STACJA),"DWORZEC PKP TARCZYN, KOLEJOWA 11, 05-555 TARCZYN, POLSKA",51.96908528,20.82947731,województwo mazowieckie,"51.96908528,20.82947731,TARCZYN (STACJA)"
2527,TARGOWISKA (S),83543.0,TARGOWISKA,TARGOWISKA (STACJA),TARGOWISKA GÓRKA woj.PODKARPACKIE Stacja:TARGOWISKA,49.635472,21.823429,PODKARPACKIE,"49.635472,21.823429,TARGOWISKA (STACJA)"
2530,TARŁO (S),40071.0,TARŁO,TARŁO (STACJA),TARŁO (STACJA) 21-104 woj.LUBELSKIE,51.5092031,22.6971274,LUBELSKIE,"51.5092031,22.6971274,TARŁO (STACJA)"
