,kod,plk,stacja,opiskod1,pelna,szerokosc,dlugosc,wojewodztwo,Coordinates
4859,BIENIÓW (S),41368.0,BIENIÓW,BIENIÓW (STACJA),BIENIÓW (STACJA) GÓRNA 68-200 woj.LUBUSKIE,51.71596105,15.17780251,LUBUSKIE,"51.71596105,15.17780251,BIENIÓW (STACJA)"
4861,BIERAWA (S),67140.0,BIERAWA,BIERAWA (STACJA),"MOSTOWA 30F, 47-223 KĘDZIERZYN-KOŹLE, POLSKA",50.29358902,18.25741053,województwo opolskie,"50.29358902,18.25741053,BIERAWA (STACJA)"
4862,BIERKOWICE (S),57356.0,BIERKOWICE,BIERKOWICE (STACJA),"5, 57-315 BIERKOWICE, POLSKA",50.4754239,16.60497665,województwo dolnośląskie,"50.4754239,16.60497665,BIERKOWICE (STACJA)"
4863,BIERNATOWO (S),29231.0,BIERNATOWO,BIERNATOWO (STACJA),BIERNATOWO (STACJA) 64-980 woj.WIELKOPOLSKIE,52.95706105,16.34241887,WIELKOPOLSKIE,"52.95706105,16.34241887,BIERNATOWO (STACJA)"
4868,BIERUŃ (S),73833.0,BIERUŃ STARY,BIERUŃ (STACJA),"Dworzec PKP Bieruń Stary, Rędzinna, 43-150 Bieruń, Polska",50.0866443,19.0919547,ŚLĄSKIE,"50.0866443,19.0919547,BIERUŃ (STACJA)"
4869,BIERUŃ MLECZ (S),73767.0,BIERUŃ MLECZARNIA,BIERUŃ MLECZARNIA (STACJA),"SZYNOWA 18A, 43-150 BIERUŃ, POLSKA",50.09285438,19.07323122,województwo śląskie,"50.09285438,19.07323122,BIERUŃ MLECZARNIA (STACJA)"
4870,BIERUTÓW (S),59584.0,BIERUTÓW,BIERUTÓW (STACJA),"Dworzec PKP Bierutów, Dworcowa 1, Bierutów, Polska",51.1282427,17.5462375,DOLNOŚLĄSKIE,"51.1282427,17.5462375,BIERUTÓW (STACJA)"
4871,BIERZWNIK (S),29199.0,BIERZWNIK,BIERZWNIK (STACJA),BIERZWNIK (STACJA) 73-240 woj.ZACHODNIOPOMORSKIE,53.02502427,15.6559238,ZACHODNIOPOMORSKIE,"53.02502427,15.6559238,BIERZWNIK (STACJA)"
4872,BIESAL (S),22095.0,BIESAL,BIESAL (STACJA),"7A, 11-036 BIESAL, POLSKA",53.72011384,20.19416928,województwo warmińsko-mazurski,"53.72011384,20.19416928,BIESAL (STACJA)"
4874,BIESTRZYKOWICE (S),62489.0,BIESTRZYKOWICE,BIESTRZYKOWICE (STACJA),"46-112 DĄBROWA, POLSKA",50.98382957,17.78401136,województwo opolskie,"50.98382957,17.78401136,BIESTRZYKOWICE (STACJA)"
