godzina	station_id	avg_dostepne_rowery	avg_dostepne_doki	avg_popularnosc_stacji	rk
8	31	7.0494233937397035	7.957166392092257	0.5302	41
8	16	7.0986301369863014	7.8945205479452055	0.5265	42
8	73	7.1198347107438017	7.8567493112947658	0.5246	43
8	71	9.0684931506849315	9.9164383561643836	0.5223	44
8	50	10.9931506849315068	11.9410958904109589	0.5207	45
8	29	11.036986301369863	11.9561643835616438	0.52	46
8	8	7.2082191780821918	7.7616438356164384	0.5185	47
8	23	7.2342465753424658	7.7575342465753425	0.5175	48
8	30	7.2424657534246575	7.7547945205479452	0.5171	49
8	56	9.2273972602739726	9.7479452054794521	0.5137	50
8	24	7.3095890410958904	7.7027397260273973	0.5131	51
8	11	9.4383561643835616	9.5534246575342466	0.503	52
8	2	13.3835616438356164	13.5356164383561644	0.5028	53
8	54	7.4986301369863014	7.473972602739726	0.4992	54
8	38	7.5273972602739726	7.4684931506849315	0.498	55
8	77	13.5876712328767123	12.5904109589041096	0.481	56
8	4	5.7205479452054795	5.2657534246575342	0.4793	57
8	26	7.8328767123287671	7.1671232876712329	0.4778	58
8	28	12.3287671232876712	10.6493150684931507	0.4635	59
8	6	8.0684931506849315	6.9232876712328767	0.4618	60
8	12	10.2904109589041096	8.7356164383561644	0.4591	61
8	69	12.463013698630137	10.5136986301369863	0.4576	62
8	72	12.463013698630137	10.489041095890411	0.457	63
8	74	12.0520547945205479	10.1205479452054795	0.4564	64
8	9	8.1986301369863014	6.7835616438356164	0.4528	65
8	36	8.2219178082191781	6.7712328767123288	0.4516	66
8	7	8.2273972602739726	6.7547945205479452	0.4509	67
8	39	10.4602739726027397	8.5205479452054795	0.4489	68
8	3	8.3986301369863014	6.5917808219178082	0.4397	69
8	35	6.2616438356164384	4.726027397260274	0.4301	70
9	55	6.5383561643835616	16.3767123287671233	0.7147	1
9	70	5.8194254445964432	13.1299589603283174	0.6929	2
9	62	5.9438356164383562	13.0027397260273973	0.6863	3
9	59	7.7729138166894665	15.1969904240766074	0.6616	4
9	67	9.4965800273597811	17.4295485636114911	0.6473	5
9	54	5.2913816689466484	9.6648426812585499	0.6462	6
9	69	8.5088919288645691	14.4404924760601915	0.6292	7
9	50	8.6780821917808219	14.2438356164383562	0.6214	8
9	58	7.5082191780821918	11.4849315068493151	0.6047	9
9	56	7.545827633378933	11.4281805745554036	0.6023	10
9	84	6.0235756385068762	8.9607072691552063	0.598	11
9	71	7.7017783857729138	11.2900136798905609	0.5945	12
9	73	6.2008253094910591	8.7909215955983494	0.5864	13
9	83	6.3723021582733813	8.6258992805755396	0.5751	14
9	33	6.3926128590971272	8.5964432284541724	0.5735	15
9	22	11.5471956224350205	15.3543091655266758	0.5708	16
9	66	8.1477428180574555	10.7975376196990424	0.5699	17
9	34	9.8577291381668947	13.0601915184678523	0.5699	18
9	49	8.2749658002735978	10.6935704514363885	0.5638	19
9	21	6.6196990424076607	8.4049247606019152	0.5594	20
9	2	11.86593707250342	15.0410396716826265	0.559	21
9	5	8.4008207934336525	10.5882352941176471	0.5576	22
9	72	10.2325581395348837	12.6990424076607387	0.5538	23
9	32	4.9144736842105263	6.0690789473684211	0.5526	24
9	10	6.7523939808481532	8.2571819425444596	0.5501	25
9	14	8.6361149110807114	10.3515731874145007	0.5452	26
9	47	8.719562243502052	10.2421340629274966	0.5401	27
9	13	6.9151846785225718	8.0766073871409029	0.5387	28
9	74	10.253077975376197	11.8891928864569083	0.5369	29
9	25	6.9493844049247606	8.0601915184678523	0.537	30
9	29	10.6484268125854993	12.3461012311901505	0.5369	31
9	16	6.987688098495212	8.0095759233926129	0.5341	32
9	82	6.9914675767918089	7.9829351535836177	0.5331	33
9	46	7.0807113543091655	7.9001367989056088	0.5273	34
9	80	7.1449752883031301	7.8401976935749588	0.5232	35
9	42	7.173734610123119	7.7961696306429549	0.5208	36
9	8	7.1764705882352941	7.7961696306429549	0.5207	37
9	30	7.20109439124487	7.8016415868673051	0.52	38
9	28	11.0683994528043776	11.9151846785225718	0.5184	39
9	37	5.3023255813953488	5.6976744186046512	0.518	40
9	23	7.2886456908344733	7.7031463748290014	0.5138	41
9	45	7.3529411764705882	7.6429548563611491	0.5097	42
9	27	7.3529411764705882	7.6388508891928865	0.5095	43
9	24	7.3953488372093023	7.6238030095759234	0.5076	44
9	61	12.9480164158686731	13.1532147742818057	0.5039	45
9	75	9.4445964432284542	9.5116279069767442	0.5018	46
9	11	9.627906976744186	9.3611491108071135	0.493	47
9	31	7.6809210526315789	7.3207236842105263	0.488	48
9	76	9.8235294117647059	9.1217510259917921	0.4815	49
9	39	9.8891928864569083	9.0834473324213406	0.4788	50
9	38	7.8071135430916553	7.1887824897400821	0.4794	51
9	41	7.8960328317373461	7.0752393980848153	0.4726	52
9	60	7.9124487004103967	7.0629274965800274	0.4716	53
9	26	7.9575923392612859	7.0410396716826265	0.4694	54
9	65	7.9630642954856361	6.9972640218878249	0.4677	55
9	64	7.9658002735978112	7.0205198358413133	0.4685	56
9	48	8.0725034199726402	6.9069767441860465	0.4611	57
9	9	8.0875512995896033	6.8946648426812585	0.4602	58
9	4	5.9917920656634747	4.9849521203830369	0.4541	59
9	6	8.186046511627907	6.8084815321477428	0.4541	60
9	57	8.2106703146374829	6.7674418604651163	0.4518	61
9	63	10.4271978021978022	8.5370879120879121	0.4502	62
9	7	8.2462380300957592	6.7400820793433653	0.4497	63
9	36	8.3064295485636115	6.7154582763337893	0.447	64
9	77	14.5417236662106703	11.6210670314637483	0.4442	65
9	51	10.6159122085048011	8.3539094650205761	0.4404	66
9	3	8.4569083447332421	6.533515731874145	0.4358	67
9	35	6.2352941176470588	4.7564979480164159	0.4327	68
9	68	10.8098495212038304	8.1518467852257182	0.4299	69
9	12	10.8303693570451436	8.1792065663474692	0.4303	70
10	59	7.3958904109589041	15.5712328767123288	0.678	1
10	70	6.2684931506849315	12.6904109589041096	0.6694	2
10	62	6.467032967032967	12.478021978021978	0.6586	3
10	54	5.1547945205479452	9.8	0.6553	4
10	55	8.4128943758573388	14.4924554183813443	0.6327	5
10	69	8.4452054794520548	14.5027397260273973	0.632	6
10	56	7.0219178082191781	11.9465753424657534	0.6298	7
10	71	7.1684931506849315	11.8136986301369863	0.6224	8
10	58	7.2633744855967078	11.7215363511659808	0.6174	9
10	50	8.8353909465020576	14.0864197530864198	0.6145	10
