miesiac	station_id	avg_dostepne_rowery	avg_dostepne_doki	wykorzystanie_stacji	rk
10-october  	75	7.4005376344086022	11.5887096774193548	0.6103	7
10-october  	45	5.9731182795698925	9.0154569892473118	0.6015	8
10-october  	59	9.217741935483871	13.7681451612903226	0.599	9
10-october  	67	10.7836021505376344	16.0873655913978495	0.5987	10
11-november 	62	6.1590277777777778	12.8458333333333333	0.6759	1
11-november 	47	6.7340277777777778	12.1756944444444444	0.6439	2
11-november 	80	5.7027777777777778	9.3	0.6199	3
11-november 	58	7.3375	11.6548611111111111	0.6137	4
11-november 	45	6.1520833333333333	8.8430555555555556	0.5897	5
11-november 	59	9.4402777777777778	13.5458333333333333	0.5893	6
11-november 	5	7.9076388888888889	11.0618055555555556	0.5831	7
11-november 	84	6.3277777777777778	8.6805555555555556	0.5784	8
11-november 	75	8.0520833333333333	10.9381944444444444	0.576	9
11-november 	33	6.4215277777777778	8.5798611111111111	0.5719	10
12-december 	32	3.6207349081364829	7.3635170603674541	0.6704	1
12-december 	84	5.5483870967741935	9.4543010752688172	0.6302	2
12-december 	47	7.5752688172043011	11.4213709677419355	0.6012	3
12-december 	62	7.5772849462365591	11.4220430107526882	0.6012	4
12-december 	67	10.9650537634408602	16.0120967741935484	0.5935	5
12-december 	10	6.1162634408602151	8.9173387096774194	0.5932	6
12-december 	25	6.1969086021505376	8.8198924731182796	0.5873	7
12-december 	5	7.8897849462365591	11.1115591397849462	0.5848	8
12-december 	83	6.2997311827956989	8.7002688172043011	0.58	9
12-december 	59	9.6431451612903226	13.3353494623655914	0.5803	10
