city	rok	miesiac	avg_min_temp_month	mom_proc_avg_min_temp_month	avg_max_temp_month	mom_proc_avg_max_temp_month	avg_mean_temp_month	mom_proc_avg_mean_temp_month	avg_min_wilgotnosc_month	mom_proc_avg_min_wilgotnos_month	avg_max_wilgotnosc_month	mom_proc_avg_max_wilgotnosc_month	avg_mean_wilgotnosc_month	mom_proc_avg_mean_wilgonosc_month	avg_mean_wind_speed_mph	mom_proc_avg_mean_wind_speed_mph	avg_max_wind_speed_mph	mom_proc_avg_max_wind_speed_mph	avg_mean_zachmurzenie	mom_avg_mean_zachmurzenie
Mountain View	2015	4	9.6666666666666667	0	21.4666666666666667	-1	15.7666666666666667	-1	36.5333333333333333	-13	78.0666666666666667	-7	57.6333333333333333	-9	6.1	31	17.5	13	1.4666666666666667	42
Mountain View	2015	5	11.3571428571428571	17	19.1785714285714286	-11	15.5	-2	52.7857142857142857	44	82.75	6	68.0714285714285714	18	6.6774193548387097	9	18.2258064516129032	4	3.6129032258064516	146
Mountain View	2015	6	14.1	24	24.6	28	19.5333333333333333	26	50.4333333333333333	-4	86.9333333333333333	5	68.9	1	6.8666666666666667	3	17.9	-2	1.7666666666666667	-51
Mountain View	2015	7	16.1290322580645161	14	25.7419354838709677	5	21.032258064516129	8	50.4193548387096774	0	84.2258064516129032	-3	67.6451612903225806	-2	7.3870967741935484	8	20.4838709677419355	14	1.8387096774193548	4
Mountain View	2015	8	16.3548387096774194	1	26.4838709677419355	3	21.6451612903225806	3	47.967741935483871	-5	83.8387096774193548	0	66.1935483870967742	-2	6.8064516129032258	-8	19.8064516129032258	-3	1.8709677419354839	2
Palo Alto	2013	8	17.6666666666666667		26.3333333333333333		22		50.3333333333333333		89		70		7.3333333333333333		20.3333333333333333		2	
Palo Alto	2013	9	14.5333333333333333	-18	25.5333333333333333	-3	20.1666666666666667	-8	42.2666666666666667	-16	83.5	-6	63.1666666666666667	-10	5.7666666666666667	-21	18.4666666666666667	-9	1.3666666666666667	-32
Palo Alto	2013	10	10.2258064516129032	-30	22.4193548387096774	-12	16.4516129032258065	-18	38.1612903225806452	-10	78.4193548387096774	-6	58.4838709677419355	-7	3.8387096774193548	-33	13.9354838709677419	-25	1.4193548387096774	4
Palo Alto	2013	11	7.9666666666666667	-22	19.2	-14	13.8333333333333333	-16	41.8	10	84.6	8	63.4333333333333333	8	2.8	-27	11.4666666666666667	-18	1.0666666666666667	-25
Palo Alto	2013	12	2.6774193548387097	-66	15.5161290322580645	-19	9.2903225806451613	-33	36.7741935483870968	-12	81.7741935483870968	-3	59.5161290322580645	-6	2.3548387096774194	-16	10.5483870967741935	-8	0.58064516129032258065	-46
